identifier,title
BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)"
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)"
BNCABFUNDCD_,"Current Account Balance, %GDP"
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)"
BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)"
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)"
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)"
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)"
BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)"
BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)"
BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)"
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
BX.KLT.DREM.CD.DT,Primary income on FDI (current US$)
BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)"
BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)"
BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)"
BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)"
BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)"
CC.EST,Control of Corruption: Estimate
CC.NO.SRC,Control of Corruption: Number of Sources
CC.PER.RNK,Control of Corruption: Percentile Rank
CC.STD.ERR,Control of Corruption: Standard Error
CHICKEN,"Meat, chicken, cents/kg, current$"
CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change)
CM.MKT.LCAP.CD,Market capitalization of listed companies (current US$)
CM.MKT.LCAP.GD.ZS,Market capitalization of listed companies (% of GDP)
CM.MKT.LDOM.NO,"Listed domestic companies, total"
CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)"
CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)"
CM.MKT.TRNR,"Stocks traded, turnover ratio (%)"
COAL_AUS,"Coal, Australia, $/mt, current$"
COCOA,"Cocoa, cents/kg, current$"
COCONUT_OIL,"Coconut oil, $/mt, current$"
COFFEE_ARABIC,"Coffee, Arabica, cents/kg, current$"
COFFEE_ROBUS,"Coffee, Robusta, cents/kg, current$"
Collection,Source Data
COPPER,"Copper, $/mt, current$"
COPRA,"Copra, $/mt, current$"
COTTON_A_INDX,"Cotton, A Index, cents/kg, current$"
CPTOTSAXMZGY,"CPI Price, % y-o-y, median weighted, seas. adj."
CPTOTSAXN,"CPI Price, nominal, seas. adj."
CPTOTSAXNZGY,"CPI Price, % y-o-y, nominal, seas. adj."
CRUDE_BRENT,"Crude oil, Brendt, $/bbl, current$"
CRUDE_DUBAI,"Crude oil, Dubai, $/bbl, current$"
CRUDE_PETRO,"Crude oil, avg, spot, $/bbl, current$"
CRUDE_WTI,"Crude oil, WTI, $/bbl, current$"
DAP,"DAP, $/mt, current$"
DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)"
DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)"
DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)"
DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)"
DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)"
DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)"
DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)"
DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)"
DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)"
DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)"
DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)"
DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)"
DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)"
DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)"
DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)"
DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)"
DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)"
DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)"
DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)"
DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)"
DC.ODA.SOCL.ZS,"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)"
DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)"
DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI)
DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)"
DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)"
DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2008 US$)"
DMGSRMRCHSACD,"Imports Merchandise, Customs, current US$, millions, seas. adj."
DMGSRMRCHSAKD,"Imports Merchandise, Customs, constant US$, millions, seas. adj."
DMGSRMRCHSAXD,"Imports Merchandise, Customs, Price, US$, seas. adj."
DPANUSLCU,"Official exchange rate, LCU per USD, period average"
DPANUSSPB,"Exchange rate, new LCU per USD extended backward, period average"
DPANUSSPF,"Exchange rate, old LCU per USD extended forward, period average"
DSTKMKTXD,"Stock Markets, US$"
DSTKMKTXN,"Stock Markets, LCU"
DT.AMT.BLAT.CD,"PPG, bilateral (AMT, current US$)"
DT.AMT.BLTC.CD,"PPG, bilateral concessional (AMT, current US$)"
DT.AMT.DIMF.CD,"IMF repurchases (AMT, current US$)"
DT.AMT.DLTF.CD,"Principal repayments on external debt, long-term + IMF (AMT, current US$)"
DT.AMT.DLXF.CD,"Principal repayments on external debt, long-term (AMT, current US$)"
DT.AMT.DPNG.CD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)"
DT.AMT.DPPG.CD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)"
DT.AMT.MIBR.CD,"PPG, IBRD (AMT, current US$)"
DT.AMT.MIDA.CD,"PPG, IDA (AMT, current US$)"
DT.AMT.MLAT.CD,"PPG, multilateral (AMT, current US$)"
DT.AMT.MLTC.CD,"PPG, multilateral concessional (AMT, current US$)"
DT.AMT.OFFT.CD,"PPG, official creditors (AMT, current US$)"
DT.AMT.PBND.CD,"PPG, bonds (AMT, current US$)"
DT.AMT.PCBK.CD,"PPG, commercial banks (AMT, current US$)"
DT.AMT.PNGB.CD,"PNG, bonds (AMT, current US$)"
DT.AMT.PNGC.CD,"PNG, commercial banks and other creditors (AMT, current US$)"
DT.AMT.PROP.CD,"PPG, other private creditors (AMT, current US$)"
DT.AMT.PRVT.CD,"PPG, private creditors (AMT, current US$)"
DT.AXA.DPPG.CD,"Principal arrears, public and publicly guaranteed (current US$)"
DT.AXA.OFFT.CD,"Principal arrears, official creditors (current US$)"
DT.AXA.PRVT.CD,"Principal arrears, private creditors (current US$)"
DT.AXF.DPPG.CD,Principal forgiven (current US$)
DT.AXR.DPPG.CD,Principal rescheduled (current US$)
DT.AXR.OFFT.CD,"Principal rescheduled, official (current US$)"
DT.AXR.PRVT.CD,"Principal rescheduled, private (current US$)"
DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)"
DT.COM.MIBR.CD,"Commitments, IBRD (COM, current US$)"
DT.COM.MIDA.CD,"Commitments, IDA (COM, current US$)"
DT.COM.OFFT.CD,"Commitments, official creditors (COM, current US$)"
DT.COM.PRVT.CD,"Commitments, private creditors (COM, current US$)"
DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)"
DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)"
DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)"
DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)"
DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)"
DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)"
DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)"
DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)"
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$)
DT.DIS.BLAT.CD,"PPG, bilateral (DIS, current US$)"
DT.DIS.BLTC.CD,"PPG, bilateral concessional (DIS, current US$)"
DT.DIS.DIMF.CD,"IMF purchases (DIS, current US$)"
DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)"
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)"
DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)"
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)"
DT.DIS.IDAG.CD,IDA grants (current US$)
DT.DIS.MIBR.CD,"PPG, IBRD (DIS, current US$)"
DT.DIS.MIDA.CD,"PPG, IDA (DIS, current US$)"
DT.DIS.MLAT.CD,"PPG, multilateral (DIS, current US$)"
DT.DIS.MLTC.CD,"PPG, multilateral concessional (DIS, current US$)"
DT.DIS.OFFT.CD,"PPG, official creditors (DIS, current US$)"
DT.DIS.PBND.CD,"PPG, bonds (DIS, current US$)"
DT.DIS.PCBK.CD,"PPG, commercial banks (DIS, current US$)"
DT.DIS.PNGB.CD,"PNG, bonds (DIS, current US$)"
DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)"
DT.DIS.PROP.CD,"PPG, other private creditors (DIS, current US$)"
DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)"
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)"
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt)
DT.DOD.BLAT.CD,"PPG, bilateral (DOD, current US$)"
DT.DOD.BLTC.CD,"PPG, bilateral concessional (DOD, current US$)"
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$)
DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)"
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)"
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves)
DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)"
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt)
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$)
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)"
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)"
DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)"
DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt)
DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)"
DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)"
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)"
DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)"
DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)"
DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)"
DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)"
DT.DOD.PROP.CD,"PPG, other private creditors (DOD, current US$)"
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)"
DT.DOD.PRVT.CD,"PPG, private creditors (DOD, current US$)"
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)"
DT.DOD.PVLX.CD,Present value of external debt (current US$)
DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)"
DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI)
DT.DOD.RSDL.CD,"Residual, debt stock-flow reconciliation (current US$)"
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)"
DT.DSB.DPPG.CD,Debt buyback (current US$)
DT.DSF.DPPG.CD,Debt stock reduction (current US$)
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$)
DT.GPA.DPPG,Average grace period on new external debt commitments (years)
DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)"
DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)"
DT.GRE.DPPG,Average grant element on new external debt commitments (%)
DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)"
DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)"
DT.HPC.COMR.PV,"Debt relief committed under HIPC initiative, cumulative US$ in end-2008 NPV terms"
DT.HPC.MDRI.PV,"Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2008 NPV terms"
DT.INR.DPPG,Average interest on new external debt commitments (%)
DT.INR.OFFT,"Average interest on new external debt commitments, official (%)"
DT.INR.PRVT,"Average interest on new external debt commitments, private (%)"
DT.INT.BLAT.CD,"PPG, bilateral (INT, current US$)"
DT.INT.BLTC.CD,"PPG, bilateral concessional (INT, current US$)"
DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)"
DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and primary income)"
DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI)
DT.INT.DIMF.CD,"IMF charges (INT, current US$)"
DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)"
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)"
DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)"
DT.INT.DSTC.CD,"Interest payments on external debt, short-term (INT, current US$)"
DT.INT.MIBR.CD,"PPG, IBRD (INT, current US$)"
DT.INT.MIDA.CD,"PPG, IDA (INT, current US$)"
DT.INT.MLAT.CD,"PPG, multilateral (INT, current US$)"
DT.INT.MLTC.CD,"PPG, multilateral concessional (INT, current US$)"
DT.INT.OFFT.CD,"PPG, official creditors (INT, current US$)"
DT.INT.PBND.CD,"PPG, bonds (INT, current US$)"
DT.INT.PCBK.CD,"PPG, commercial banks (INT, current US$)"
DT.INT.PNGB.CD,"PNG, bonds (INT, current US$)"
DT.INT.PNGC.CD,"PNG, commercial banks and other creditors (INT, current US$)"
DT.INT.PROP.CD,"PPG, other private creditors (INT, current US$)"
DT.INT.PRVT.CD,"PPG, private creditors (INT, current US$)"
DT.IXA.DPPG.CD,"Interest arrears, public and publicly guaranteed (current US$)"
DT.IXA.DPPG.CD.CG,Net change in interest arrears (current US$)
DT.IXA.OFFT.CD,"Interest arrears, official creditors (current US$)"
DT.IXA.PRVT.CD,"Interest arrears, private creditors (current US$)"
DT.IXF.DPPG.CD,Interest forgiven (current US$)
DT.IXR.DPPG.CD,Interest rescheduled (capitalized) (current US$)
DT.IXR.OFFT.CD,"Interest rescheduled, official (current US$)"
DT.IXR.PRVT.CD,"Interest rescheduled, private (current US$)"
DT.MAT.DPPG,Average maturity on new external debt commitments (years)
DT.MAT.OFFT,"Average maturity on new external debt commitments, official (years)"
DT.MAT.PRVT,"Average maturity on new external debt commitments, private (years)"
DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)"
DT.NFL.BLTC.CD,"PPG, bilateral concessional (NFL, current US$)"
DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)"
DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)"
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
DT.NFL.DPPG.CD,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)"
DT.NFL.DSTC.CD,"Net flows on external debt, short-term (NFL, current US$)"
DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)"
DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)"
DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)"
DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)"
DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)"
DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)"
DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)"
DT.NFL.MLTC.CD,"PPG, multilateral concessional (NFL, current US$)"
DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)"
DT.NFL.NEBR.CD,"EBRD, private nonguaranteed (NFL, current US$)"
DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)"
DT.NFL.OFFT.CD,"PPG, official creditors (NFL, current US$)"
DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)"
DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)"
DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)"
DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)"
DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)"
DT.NFL.PRVT.CD,"PPG, private creditors (NFL, current US$)"
DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)"
DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)"
DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)"
DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)"
DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)"
DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)"
DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)"
DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)"
DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)"
DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)"
DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)"
DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)"
DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)"
DT.NTR.BLAT.CD,"PPG, bilateral (NTR, current US$)"
DT.NTR.BLTC.CD,"PPG, bilateral concessional (NTR, current US$)"
DT.NTR.DECT.CD,"Net transfers on external debt, total (NTR, current US$)"
DT.NTR.DLXF.CD,"Net transfers on external debt, long-term (NTR, current US$)"
DT.NTR.DPNG.CD,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)"
DT.NTR.DPPG.CD,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)"
DT.NTR.MIBR.CD,"PPG, IBRD (NTR, current US$)"
DT.NTR.MIDA.CD,"PPG, IDA (NTR, current US$)"
DT.NTR.MLAT.CD,"PPG, multilateral (NTR, current US$)"
DT.NTR.MLTC.CD,"PPG, multilateral concessional (NTR, current US$)"
DT.NTR.OFFT.CD,"PPG, official creditors (NTR, current US$)"
DT.NTR.PBND.CD,"PPG, bonds (NTR, current US$)"
DT.NTR.PCBK.CD,"PPG, commercial banks (NTR, current US$)"
DT.NTR.PNGB.CD,"PNG, bonds (NTR, current US$)"
DT.NTR.PNGC.CD,"PNG, commercial banks and other creditors (NTR, current US$)"
DT.NTR.PROP.CD,"PPG, other private creditors (NTR, current US$)"
DT.NTR.PRVT.CD,"PPG, private creditors (NTR, current US$)"
DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$)
DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2011 US$)
DT.ODA.ODAT.CD,Net official development assistance received (current US$)
DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation)
DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI)
DT.ODA.ODAT.KD,Net official development assistance received (constant 2011 US$)
DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)"
DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$)
DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense)
DT.TDS.BLAT.CD,"PPG, bilateral (TDS, current US$)"
DT.TDS.BLTC.CD,"PPG, bilateral concessional (TDS, current US$)"
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)"
DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)"
DT.TDS.DECT.GN.ZS,Total debt service (% of GNI)
DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)"
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)"
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)"
DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)"
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI)
DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
DT.TDS.MIBR.CD,"PPG, IBRD (TDS, current US$)"
DT.TDS.MIDA.CD,"PPG, IDA (TDS, current US$)"
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)"
DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service)
DT.TDS.MLTC.CD,"PPG, multilateral concessional (TDS, current US$)"
DT.TDS.OFFT.CD,"PPG, official creditors (TDS, current US$)"
DT.TDS.PBND.CD,"PPG, bonds (TDS, current US$)"
DT.TDS.PCBK.CD,"PPG, commercial banks (TDS, current US$)"
DT.TDS.PNGB.CD,"PNG, bonds (TDS, current US$)"
DT.TDS.PNGC.CD,"PNG, commercial banks and other creditors (TDS, current US$)"
DT.TDS.PROP.CD,"PPG, other private creditors (TDS, current US$)"
DT.TDS.PRVT.CD,"PPG, private creditors (TDS, current US$)"
DT.TXR.DPPG.CD,Total amount of debt rescheduled (current US$)
DT.UND.DPPG.CD,"Undisbursed external debt, total (UND, current US$)"
DT.UND.OFFT.CD,"Undisbursed external debt, official creditors (UND, current US$)"
DT.UND.PRVT.CD,"Undisbursed external debt, private creditors (UND, current US$)"
DXGSRMRCHSACD,"Exports Merchandise, Customs, current US$, millions, seas. adj."
DXGSRMRCHSAKD,"Exports Merchandise, Customs, constant US$, millions, seas. adj."
DXGSRMRCHSAXD,"Exports Merchandise, Customs, Price, US$, seas. adj."
EA.PRD.AGRI.KD,Agriculture value added per worker (constant 2005 US$)
EG.EGY.PROD.KT.OE,Energy production (kt of oil equivalent)
EG.ELC.COAL.KH,Electricity production from coal sources (kWh)
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total)
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)"
EG.ELC.HOUS.ZS,Household electrification rate (% of households)
EG.ELC.HYRO.KH,Electricity production from hydroelectric sources (kWh)
EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total)
EG.ELC.NGAS.KH,Electricity production from natural gas sources (kWh)
EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total)
EG.ELC.NUCL.KH,Electricity production from nuclear sources (kWh)
EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total)
EG.ELC.PETR.KH,Electricity production from oil sources (kWh)
EG.ELC.PETR.ZS,Electricity production from oil sources (% of total)
EG.ELC.PROD.KH,Electricity production (kWh)
EG.ELC.RNEW.KH,Electricity production from renewable sources (kWh)
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent)
EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use)
EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total)
EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)"
EG.USE.COMM.KT.OE,Energy use (kt of oil equivalent)
EG.USE.CRNW.KT.OE,Combustible renewables and waste (metric tons of oil equivalent)
EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy)
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita)
EMBI,J.P. Morgan Emerging Markets Bond Index (EMBI+)
EN.AGR.EMPL,Economically active population in agriculture (number)
EN.AGR.EMPL.FE,"Economically active population in agriculture, female (FAO, number)"
EN.AGR.EMPL.IN,"Agricultural population (FAO, number)"
EN.AGR.EMPL.MA,"Economically active population in agriculture, male (FAO, number)"
EN.BIR.THRD.NO,"Bird species, threatened"
EN.FSH.THRD.NO,"Fish species, threatened"
EN.HPT.THRD.NO,"Plant species (higher), threatened"
EN.MAM.THRD.NO,"Mammal species, threatened"
EN.NAGR.EMPL.IN,"Non-agricultural population (FAO, number)"
EN.POP.DNST,Population density (people per sq. km of land area)
EN.URB.LCTY,Population in largest city
EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population)
EN.URB.MCTY,Population in urban agglomerations of more than 1 million
EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population)
EP.PMP.DESL.CD,Pump price for diesel fuel (US$ per liter)
EP.PMP.SGAS.CD,Pump price for gasoline (US$ per liter)
ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area)
ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters)
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)"
FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
